,Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
0,good,9,rent,60,30,married,no_rec,freelance,73,129,0,0,800,846
1,good,17,rent,60,58,widow,no_rec,fixed,48,131,0,0,1000,1658
2,bad,10,owner,36,46,married,yes_rec,freelance,90,200,3000,0,2000,2985
3,good,0,rent,60,24,single,no_rec,fixed,63,182,2500,0,900,1325
4,good,0,rent,36,26,single,no_rec,fixed,46,107,0,0,310,910
5,good,1,owner,60,36,married,no_rec,fixed,75,214,3500,0,650,1645
6,good,29,owner,60,44,married,no_rec,fixed,75,125,10000,0,1600,1800
7,good,9,parents,12,27,single,no_rec,fixed,35,80,0,0,200,1093
8,good,0,owner,60,32,married,no_rec,freelance,90,107,15000,0,1200,1957
9,bad,0,parents,48,41,married,no_rec,partime,90,80,0,0,1200,1468
10,good,6,owner,48,34,married,no_rec,freelance,60,125,4000,0,1150,1577
11,good,7,owner,36,29,married,no_rec,fixed,60,121,3000,0,650,915
12,good,8,owner,60,30,married,no_rec,fixed,75,199,5000,2500,1500,1650
13,good,19,priv,36,37,married,no_rec,fixed,75,170,3500,260,600,940
14,bad,0,other,18,21,single,yes_rec,partime,35,50,0,0,400,500
15,good,0,owner,24,68,married,no_rec,fixed,75,131,4162,0,900,1186
16,good,15,priv,24,52,single,no_rec,freelance,35,330,16500,0,1500,2201
17,good,33,rent,24,68,married,no_rec,freelance,65,200,5000,2000,600,1350
18,bad,0,ignore,48,36,married,no_rec,partime,45,130,750,0,1100,1511
19,good,1,parents,60,31,single,no_rec,fixed,35,137,0,0,1250,1253
20,bad,2,rent,60,25,single,no_rec,fixed,46,107,0,0,1500,2189
21,good,5,owner,60,22,single,no_rec,fixed,45,324,10000,0,1100,1159
22,bad,1,owner,60,45,married,no_rec,partime,105,112,2000,500,600,1332
23,good,27,rent,60,41,married,no_rec,fixed,74,140,0,0,950,1497
24,good,26,owner,60,51,married,no_rec,fixed,45,143,3500,0,1350,1357
25,good,12,owner,36,54,married,no_rec,fixed,60,130,4000,0,700,2100
26,good,19,owner,60,43,single,no_rec,fixed,75,180,4000,0,1000,1070
27,good,15,owner,36,43,married,no_rec,fixed,75,251,4000,0,1800,2557
28,bad,3,owner,24,23,married,no_rec,fixed,75,85,5000,0,600,1600
29,good,4,owner,48,29,married,no_rec,fixed,45,150,5000,3300,1100,1312
30,bad,0,owner,36,23,single,no_rec,partime,45,122,2500,0,400,400
31,good,14,priv,24,51,married,no_rec,partime,75,198,1000,0,450,650
32,good,10,owner,36,39,married,no_rec,freelance,75,150,3000,0,1000,1394
33,good,12,parents,36,35,single,no_rec,fixed,35,170,0,0,1100,1542
34,good,32,owner,24,62,married,no_rec,freelance,45,119,8500,0,700,1200
35,good,10,owner,24,56,married,no_rec,freelance,45,208,13500,0,500,1560
36,good,7,owner,48,32,married,no_rec,fixed,75,115,3000,0,800,1200
37,bad,1,rent,54,36,married,no_rec,fixed,70,99,0,0,950,950
38,good,30,owner,60,64,married,no_rec,fixed,45,120,14000,0,1125,1300
39,bad,5,rent,48,31,single,no_rec,fixed,44,90,0,0,1300,1700
40,good,24,owner,60,42,married,no_rec,fixed,75,137,4000,0,900,1167
41,good,0,owner,60,61,widow,no_rec,others,35,230,50000,0,950,1150
42,bad,0,owner,60,32,married,yes_rec,fixed,45,142,7000,3000,1250,1566
